count nobl hse
28 7.0 12774
28 5.0 34870
28 0.0 39404
27 6.0 20946
27 7.0 16131
27 7.0 12208
27 0.0 40201
27 5.0 25016
27 6.0 19184
27 6.0 8994
27 7.0 20411
27 0.0 38950
27 5.0 26102
27 2.0 26779
27 7.0 27594
27 6.0 10899
27 5.0 31840
27 7.0 18634
26 4.0 36447
26 0.0 38538
26 2.0 31794
26 0.0 49126
26 2.0 27928
26 5.0 36570
26 3.0 22997
26 1.0 29799
26 7.0 14696
25 1.0 30925
25 6.0 25454
25 2.0 26002
25 7.0 11205
25 3.0 29605
25 7.0 26935
25 0.0 37709
25 7.0 24614
25 2.0 27115
25 6.0 25886
25 3.0 28492
25 1.0 34401
25 6.0 30820
25 0.0 48478
25 4.0 34026
25 1.0 35507
24 8.0 12714
24 8.0 23807
24 0.0 44473
24 7.0 8394
24 2.0 30693
24 6.0 22720
24 2.0 26349
24 6.0 31525
24 5.0 28398
24 8.0 12320
23 6.0 29625
23 6.0 26569
23 6.0 32898
23 0.0 47790
23 7.0 10255
23 2.0 33920
23 5.0 32998
23 6.0 24096
23 7.0 11752
23 8.0 19260
23 5.0 32426
23 3.0 34547
23 2.0 31183
23 3.0 35072
23 2.0 32356
23 0.0 45284
23 6.0 22376
23 8.0 14520
23 1.0 25852
23 8.0 20173
22 0.0 39808
22 2.0 40445
22 5.0 35723
22 7.0 33028
22 2.0 33432
22 9.0 13401
22 1.0 36127
22 2.0 28598
22 3.0 38669
22 0.0 50099
22 4.0 35382
22 6.0 20098
22 3.0 41214
22 7.0 9690
22 2.0 37277
22 4.0 31534
22 0.0 38094
22 1.0 32007
22 1.0 34910
22 3.0 28796
22 7.0 30564
22 1.0 33873
22 8.0 16627
22 6.0 28065
21 4.0 37362
21 12.0 4499
21 6.0 3926
21 7.0 7357
21 9.0 22502
21 7.0 21559
21 3.0 31701
21 6.0 29078
21 1.0 29287
21 7.0 30081
21 8.0 9784
21 3.0 35619
21 5.0 30095
21 6.0 4515
21 6.0 23199
21 6.0 34490
21 7.0 34861
21 9.0 20246
21 8.0 31683
21 4.0 30006
21 2.0 39148
21 10.0 16783
20 6.0 28563
20 2.0 41665
20 5.0 31381
20 3.0 33014
20 3.0 33600
20 2.0 35853
20 6.0 3322
20 5.0 29584
20 7.0 22011
20 7.0 7976
20 5.0 28965
20 4.0 32602
19 7.0 21054
19 8.0 10225
19 2.0 37955
19 3.0 43270
19 9.0 27674
19 0.0 46862
19 7.0 28775
19 4.0 885
19 7.0 15144
19 6.0 2551
19 4.0 40592
19 9.0 9275
19 2.0 42468
19 3.0 44293
19 7.0 30957
19 7.0 33921
19 7.0 14206
19 7.0 23903
19 1.0 32848
18 4.0 39692
18 4.0 38824
18 8.0 8603
18 10.0 14581
18 1.0 28910
18 8.0 11407
18 1.0 41211
18 8.0 27324
18 8.0 13719
18 4.0 33354
18 8.0 7869
18 8.0 30538
18 4.0 38262
18 2.0 35371
18 6.0 46987
18 4.0 34592
18 1.0 32462
17 2.0 38709
17 7.0 28286
17 0.0 70341
17 1.0 37773
17 0.0 47396
17 7.0 15616
17 7.0 31488
17 2.0 41168
17 4.0 31025
17 9.0 18213
17 1.0 33415
17 0.0 45955
17 7.0 6261
17 6.0 30274
17 8.0 23200
17 5.0 34211
17 9.0 24005
17 4.0 32029
17 2.0 43895
17 3.0 42349
16 7.0 10736
16 1.0 39018
16 5.0 37221
16 0.0 55114
16 1.0 41872
16 5.0 40478
16 5.0 30497
16 2.0 36826
16 1.0 40365
16 8.0 1779
16 4.0 43747
16 6.0 52609
16 8.0 27994
16 8.0 32572
16 17.0 16079
16 5.0 30929
16 6.0 24461
16 3.0 30520
16 9.0 15334
16 2.0 47381
15 0.0 42223
15 8.0 37774
15 8.0 21262
15 5.0 38333
15 2.0 39787
15 0.0 73404
15 7.0 32201
15 3.0 30052
15 3.0 37817
15 3.0 39498
15 7.0 35800
15 0.0 51508
15 6.0 32273
15 1.0 38376
15 8.0 17809
15 4.0 41444
15 9.0 16166
15 2.0 34406
15 8.0 25589
15 8.0 7279
15 8.0 13136
15 9.0 2136
15 4.0 32977
15 14.0 10091
15 2.0 34904
15 8.0 28622
15 0.0 58857
15 8.0 33245
15 8.0 34664
15 3.0 36749
14 1.0 42494
14 5.0 846
14 9.0 28260
14 9.0 34526
14 6.0 35607
14 14.0 10970
14 10.0 31470
14 8.0 17255
14 8.0 4245
14 2.0 45564
14 1.0 56789
14 9.0 21153
14 5.0 33571
14 6.0 39348
14 5.0 39714
14 3.0 37244
14 0.0 53421
14 7.0 3218
14 10.0 19645
14 5.0 37802
13 9.0 23224
13 8.0 11869
13 1.0 45064
13 7.0 38022
13 10.0 23169
13 3.0 47693
13 8.0 22576
13 8.0 26086
13 9.0 16709
13 0.0 62211
13 5.0 42283
13 0.0 54245
13 0.0 68076
13 8.0 24481
13 3.0 47040
13 10.0 26800
13 9.0 12565
13 7.0 45674
13 9.0 10917
13 6.0 36712
13 0.0 61276
13 9.0 13718
13 10.0 18822
13 1.0 36735
12 5.0 44558
12 6.0 37355
12 4.0 50553
12 7.0 29275
12 4.0 44639
12 11.0 21990
12 10.0 24036
12 8.0 21768
12 8.0 38668
12 0.0 69656
12 4.0 45311
12 11.0 19663
12 2.0 49391
12 11.0 7287
12 7.0 37449
12 12.0 29293
12 9.0 4576
11 7.0 4119
11 3.0 52747
11 8.0 29219
11 3.0 49551
11 8.0 47883
11 9.0 29950
11 8.0 25064
11 9.0 31324
11 11.0 24032
11 9.0 14089
11 6.0 48318
11 9.0 29228
11 5.0 51404
11 6.0 42946
11 7.0 50600
11 6.0 35072
11 3.0 48353
11 8.0 9170
11 4.0 42768
11 10.0 17611
11 9.0 27162
11 1.0 39687
11 10.0 12369
11 0.0 71285
11 3.0 36128
11 9.0 8467
11 1.0 37185
11 11.0 36167
11 9.0 7600
11 8.0 37143
11 8.0 36669
11 4.0 51686
11 9.0 30600
11 2.0 43196
11 8.0 20692
11 9.0 19509
10 9.0 39579
10 11.0 30197
10 3.0 56975
10 11.0 20562
10 8.0 39257
10 0.0 52101
10 1.0 46110
10 0.0 57775
10 9.0 41372
10 4.0 47653
10 8.0 35301
10 15.0 23400
10 10.0 38883
10 5.0 39177
10 0.0 115184
10 7.0 51917
10 9.0 14545
10 0.0 60354
10 0.0 87551
10 8.0 42651
10 6.0 36024
10 4.0 49012
10 9.0 32862
10 7.0 49212
10 6.0 37912
10 9.0 25305
10 11.0 22961
10 6.0 38702
10 7.0 39611
10 10.0 13477
10 3.0 46074
10 0.0 59586
10 7.0 43220
10 1.0 49741
10 6.0 40656
10 0.0 52755
10 9.0 36093
10 9.0 32053
10 4.0 61279
10 3.0 50464
10 0.0 56391
10 7.0 4763
10 4.0 55378
9 5.0 45191
9 1.0 44467
9 10.0 11515
9 7.0 5722
9 10.0 27555
9 7.0 41303
9 1.0 48214
9 5.0 50302
9 5.0 55619
9 8.0 29794
9 0.0 57285
9 5.0 47934
9 9.0 25899
9 7.0 43979
9 6.0 41554
9 1.0 54557
9 9.0 24718
9 10.0 25147
9 0.0 72237
9 18.0 23159
9 9.0 38792
9 9.0 33763
9 2.0 48265
9 7.0 36607
9 7.0 38766
9 5.0 48535
9 8.0 10837
9 4.0 42177
9 8.0 41783
9 8.0 26759
9 2.0 36376
9 8.0 33915
9 2.0 44710
9 9.0 10098
9 1.0 51090
9 3.0 45223
9 9.0 21947
9 11.0 16816
9 4.0 47041
9 0.0 65304
9 7.0 44760
9 0.0 62999
8 8.0 40952
8 1.0 60314
8 8.0 35903
8 5.0 64116
8 10.0 37808
8 11.0 17591
8 9.0 36895
8 6.0 56844
8 5.0 41323
8 6.0 54000
8 12.0 26962
8 3.0 54945
8 10.0 25815
8 1.0 64900
8 0.0 50774
8 8.0 40353
8 10.0 6762
8 8.0 49557
8 2.0 59716
8 4.0 53963
8 10.0 30462
8 12.0 38972
8 4.0 46187
8 5.0 54252
8 6.0 45939
8 9.0 11805
8 5.0 45831
8 7.0 57222
8 10.0 10211
8 1.0 53089
8 2.0 50644
8 1.0 57914
8 4.0 53027
8 0.0 58312
8 1.0 47358
8 0.0 63557
8 13.0 9947
8 2.0 51623
8 4.0 56601
8 7.0 42180
8 10.0 2179
8 5.0 49470
8 9.0 37635
7 3.0 59056
7 0.0 64400
7 9.0 17433
7 0.0 76376
7 2.0 54160
7 1.0 55522
7 5.0 42970
7 9.0 47676
7 5.0 43904
7 0.0 80584
7 11.0 2285
7 6.0 44588
7 4.0 73198
7 11.0 12349
7 5.0 59108
7 10.0 18236
7 8.0 46712
7 10.0 41705
7 9.0 42263
7 9.0 46532
7 9.0 5734
7 3.0 65584
7 10.0 15780
7 0.0 79870
7 0.0 90550
7 11.0 35182
7 0.0 78967
7 10.0 28400
7 0.0 88397
7 1.0 67807
7 6.0 53280
7 10.0 21566
7 6.0 39874
7 9.0 18812
7 10.0 35012
7 9.0 40639
7 2.0 53501
7 1.0 50508
7 10.0 36766
7 6.0 69786
7 11.0 31074
7 0.0 55727
7 0.0 66428
7 7.0 64499
7 4.0 63
7 10.0 29509
7 0.0 78251
7 10.0 33356
7 9.0 35344
7 4.0 57634
7 10.0 32455
7 10.0 5124
6 4.0 49671
6 1.0 58861
6 9.0 53042
6 8.0 45350
6 10.0 61949
6 10.0 39950
6 2.0 61409
6 11.0 41260
6 11.0 15790
6 6.0 42293
6 13.0 46434
