loc hsv count
76.0 4189 4
114.0 7414 4
43.0 1089 4
50.0 3438 4
51.0 2958 4
92.0 2401 4
83.0 4579 4
60.0 2976 4
75.0 3935 4
82.0 2756 4
91.0 4710 4
169.0 9755 4
40.0 490 4
39.0 1328 4
121.0 6976 4
186.0 9097 4
63.0 4472 4
85.0 2894 4
65.0 1644 4
82.0 4427 4
86.0 3318 4
63.0 4482 4
51.0 3685 4
96.0 4880 4
607.0 45096 4
40.0 2836 4
30.0 2628 4
88.0 1857 4
20.0 2490 4
65.0 3330 4
64.0 3943 4
103.0 4639 4
13.0 1151 4
10.0 1015 4
37.0 2934 4
115.0 6165 5
96.0 3750 5
79.0 3129 5
77.0 5121 5
71.0 2408 5
42.0 3854 5
66.0 6099 5
63.0 3719 5
125.0 7064 5
91.0 5930 5
95.0 6185 5
44.0 3881 5
95.0 4658 5
83.0 3921 5
88.0 4924 5
117.0 4688 5
47.0 4216 5
93.0 4957 5
81.0 4793 5
41.0 1253 5
198.0 14669 5
136.0 9105 5
46.0 1484 5
88.0 3684 5
55.0 3654 5
69.0 5363 5
70.0 3112 5
72.0 4557 5
91.0 3399 5
100.0 3895 5
73.0 4093 5
19.0 1788 5
24.0 750 5
96.0 5209 5
74.0 3782 5
54.0 2811 5
37.0 3711 5
54.0 1530 5
52.0 2859 5
82.0 4967 5
34.0 2899 5
39.0 2916 5
28.0 1224 5
39.0 712 5
75.0 1988 5
98.0 4216 5
123.0 5081 5
67.0 3490 5
78.0 3950 5
70.0 4538 5
66.0 1871 5
8.0 894 5
33.0 2564 5
86.0 4547 5
60.0 1698 5
47.0 3628 5
63.0 4067 5
46.0 1583 5
59.0 3846 5
63.0 3889 5
51.0 2872 5
72.0 3053 5
80.0 2073 5
81.0 3191 5
74.0 2290 5
75.0 3715 5
103.0 6442 5
71.0 2954 5
83.0 3869 5
25.0 2237 5
67.0 3551 5
114.0 5728 5
95.0 3174 5
70.0 3416 5
127.0 6817 5
108.0 4531 5
18.0 1894 5
69.0 2723 5
18.0 1554 5
83.0 3741 5
50.0 3129 5
67.0 3770 6
9.0 851 6
61.0 1923 6
29.0 3431 6
33.0 2856 6
65.0 2497 6
59.0 4155 6
68.0 3403 6
123.0 4769 6
41.0 3111 6
37.0 3123 6
86.0 5082 6
70.0 2698 6
15.0 1424 6
67.0 2536 6
108.0 4222 6
43.0 1545 6
70.0 2130 6
81.0 3774 6
80.0 5003 6
84.0 4780 6
103.0 2945 6
19.0 2027 6
83.0 4109 6
22.0 1989 6
92.0 5233 6
64.0 2467 6
63.0 3352 6
49.0 1692 6
76.0 3830 6
55.0 1382 6
84.0 4412 6
58.0 2729 6
94.0 3262 6
69.0 3025 6
39.0 1964 6
42.0 2794 6
98.0 4777 6
82.0 4252 6
85.0 5269 6
50.0 3310 6
33.0 1120 6
38.0 2823 6
27.0 2256 6
125.0 5228 6
77.0 4346 6
32.0 2359 6
72.0 3391 6
40.0 2784 6
58.0 3976 6
56.0 3062 6
32.0 1277 6
114.0 5693 6
74.0 3037 6
50.0 2041 6
35.0 534 6
81.0 4681 6
37.0 2670 6
49.0 3752 6
36.0 2694 6
33.0 2683 6
56.0 1128 7
70.0 2613 7
207.0 10110 7
49.0 1655 7
74.0 4980 7
62.0 5590 7
52.0 3712 7
129.0 5743 7
60.0 2894 7
32.0 3098 7
19.0 1665 7
66.0 4023 7
48.0 3604 7
67.0 3703 7
67.0 3813 7
58.0 3156 7
58.0 1877 7
49.0 3644 7
102.0 4952 7
60.0 2048 7
56.0 1966 7
29.0 1684 7
52.0 3380 7
59.0 2185 7
56.0 1844 7
71.0 3175 7
29.0 458 7
106.0 5834 7
48.0 2 7
41.0 3222 7
27.0 2176 7
16.0 276 7
42.0 1902 7
51.0 2080 7
61.0 2958 7
47.0 1369 7
28.0 2212 7
48.0 1359 7
32.0 596 7
46.0 1668 7
45.0 2217 7
101.0 5405 7
65.0 4003 7
53.0 1676 7
56.0 2509 7
44.0 2989 7
57.0 1865 7
97.0 4312 7
13.0 970 7
77.0 4059 7
212.0 8593 8
80.0 2226 8
90.0 4910 8
76.0 2840 8
20.0 1705 8
76.0 4467 8
29.0 389 8
113.0 5002 8
73.0 2652 8
131.0 6478 8
104.0 3987 8
86.0 3459 8
40.0 1186 8
76.0 3283 8
82.0 5068 8
58.0 3189 8
33.0 2280 8
112.0 6728 8
60.0 3370 8
32.0 564 8
25.0 1944 8
67.0 3512 8
62.0 3597 8
74.0 1434 8
19.0 1884 8
57.0 2947 8
56.0 3340 8
45.0 703 8
57.0 3504 8
71.0 4336 8
41.0 3274 8
30.0 2384 8
15.0 1488 8
26.0 304 8
30.0 1856 8
38.0 2718 8
36.0 642 8
15.0 1208 8
58.0 1170 8
63.0 3042 8
38.0 688 8
70.0 2752 9
87.0 4023 9
72.0 4228 9
59.0 1744 9
68.0 3265 9
73.0 3301 9
63.0 3249 9
54.0 2885 9
26.0 665 9
57.0 1601 9
