count robl hsd
32 1.0 6
32 0.5567619293492455 10
31 0.09780448455703292 24
31 0.45914644240320857 13
31 0.2214541730670763 6
31 0.5555442373629816 9
31 0.2952502532067505 21
31 0.5971003856602578 11
31 0.5461070416428451 13
31 0.35976397167735524 15
31 0.4306893823022855 7
31 0.40535585778592453 16
31 0.3600086173802734 16
31 0.13593026058647706 25
31 0.39703795216129184 15
30 0.07155371757586503 9
30 0.12783321936461117 24
30 0.3358262202578917 20
30 0.4638613385381961 13
30 0.4543348498766456 12
30 0.3849738151821321 18
30 0.3465930134162121 18
30 0.6645776651968602 12
29 0.21410887962612102 5
29 0.20265425847987828 26
29 0.12417019043604462 30
29 0.5019911898059032 15
29 0.16468805744313103 26
29 0.23195535397949227 24
29 0.1303959410788473 24
29 0.11907388679610133 25
29 0.2813260347598586 24
29 0.09563306900685886 25
29 0.23418778986730307 28
28 0.43640753596846976 18
28 0.3973610291638912 18
28 0.4536121966269025 12
28 0.38642968259564897 16
28 0.3578715157011421 25
28 0.44983235203049443 8
28 0.059752350074916624 25
28 0.7461734693877551 7
28 0.5994047619047619 8
27 0.2543071535226203 22
27 0.06831423656550513 9
27 0.442538514709586 16
27 0.4984781935329959 13
27 0.08639820134513042 23
27 0.12871881273276523 23
27 0.7255731922398588 9
27 0.14922669922669923 7
27 0.2715206957038651 21
27 0.3725903725903726 6
27 0.3700374259341121 20
27 0.3552033725935991 12
26 0.7072649572649573 10
26 0.34475852156398695 24
26 0.42301283432505155 15
26 0.6666666666666666 8
26 0.7424978867286559 8
26 0.3656131175788122 18
26 0.330309084158361 18
25 0.10373277470200945 26
25 0.36078256514727103 13
25 1.0 8
25 0.12374841747684777 31
25 0.15575593314537567 28
25 0.37584665183576255 7
25 0.6036153846153846 7
25 0.18316808392311665 27
25 0.3086278288313751 18
25 0.6675 9
25 0.49210517008702126 20
25 0.4349486461251167 6
25 0.5968571428571429 9
25 0.6666666666666665 10
24 0.4579092926122725 15
24 0.45687596519656687 14
24 0.11541628928394021 26
24 0.5 14
23 0.24219608115874358 22
23 0.17699363955222136 31
23 0.5517854485144834 11
23 0.19106325848337927 30
23 0.34526531251409875 21
23 0.5580651232825146 11
23 0.05400565435731676 22
23 0.8550724637681159 6
23 0.37213541623375 23
23 0.11427609016610987 6
23 0.5616901214727301 12
23 0.07191476535838946 31
23 0.6032608695652174 7
23 0.19356596867494294 25
22 0.3347107438016529 4
22 0.25779770468765684 25
22 0.07640009087060674 22
22 0.610579748534294 14
22 1.0 5
22 0.6287190082644628 10
22 0.11771942894827712 28
22 0.6623987776928953 13
22 0.27585255368172723 23
22 0.3497883705518634 27
22 0.2698985502397193 8
22 0.16206078362460444 32
22 0.6029137529137528 9
22 0.27942584945647925 22
22 0.4493585147992977 4
22 0.2527574453659258 27
22 0.16785398202510501 5
22 0.5715832920744944 14
21 0.11865928734676692 29
21 0.3485085601924077 25
21 0.0756455624128303 32
21 0.09673207222037204 24
21 0.12359262905805506 33
21 0.3066906176014878 21
21 0.5052623968809699 14
21 0.3443450045235315 18
21 0.2515873015873016 5
21 0.10774943848878918 27
21 0.5705568741162066 16
21 0.3004939132974214 22
20 0.20943430060503815 27
20 0.14230489150225992 6
20 0.2781343354778849 25
20 0.07167104493313305 29
20 0.22372801581158766 25
20 0.6012500000000001 6
20 0.60375 10
20 0.14519876043292473 35
20 0.0959133610045726 28
20 0.1384750862789589 27
20 0.2250458310024268 25
20 0.4528281685634627 9
19 0.3165908734579988 23
19 0.5012531328320802 17
19 0.16800861767658648 34
19 0.3454375461169058 27
19 0.1924345654749578 28
19 0.5990824883117534 13
19 0.13684846702711373 27
19 0.28334770008516413 26
19 0.17997331578959946 25
18 0.7380952380952381 6
18 0.15465001766040326 28
18 0.22883187271313454 30
18 0.5704264870931538 7
18 1.0 4
18 0.2857142857142857 5
18 0.34213810083375296 28
18 0.24291107433331482 26
18 0.28578643578643576 5
18 0.11746951223028823 37
18 0.39023588397127434 21
18 0.3010163475263646 24
18 0.261981601560065 28
18 0.4970432617491441 16
18 0.7478216228216228 11
18 0.2077327718661657 33
17 0.39615384615384613 4
17 0.22121711645033026 29
17 1.0 9
17 0.44099774886724674 17
17 1.5 4
17 0.06340233248091225 23
17 0.07714654281953245 25
17 0.06635185180809279 27
17 0.41581741534351735 19
17 0.11548702466268672 32
17 0.32425702510841825 26
17 0.6666666666666666 3
16 0.8 6
16 0.6055490805490805 15
16 0.4154417073255302 25
16 0.8377435064935065 12
16 0.06184978735530206 28
16 0.15758155858704376 37
16 0.4481448465843131 18
16 0.06607373899711003 27
16 0.565566378066378 6
16 0.4405456349206349 20
15 0.75 10
15 0.4083474548813087 19
15 0.24489940607139282 33
15 0.12372655599523744 34
15 0.29195879109795897 30
15 1.0 3
15 0.2554253960892956 30
15 0.18478474476441956 29
15 0.20030090364028658 31
15 0.10881282265492791 35
15 0.5577000479391784 15
15 0.7121783771783772 14
15 0.3364684798650643 22
15 0.4055211558307533 17
15 0.28095238095238095 4
15 0.07445828204675756 35
14 0.4981203007518797 18
14 0.11829430382463214 39
14 0.7527472527472527 11
14 0.3814263599360985 22
14 0.4790250028673674 19
14 0.4054706870786592 22
14 0.065296072290613 26
14 0.7530345471521942 9
13 0.16573264380433164 29
13 0.43545343545343546 5
13 0.21172161172161172 4
13 0.7019723865877712 12
13 0.4087912087912088 3
13 0.8009615384615386 9
13 0.06678337246946717 7
13 0.8016983016983018 8
13 0.06682730798170596 30
12 0.6006701714502226 17
12 0.1541000131263823 31
12 0.3026478281404079 25
12 1.0 12
12 0.43454648210082997 21
12 0.5469303010227933 19
12 0.3004162623308811 29
12 0.5499697388726027 17
12 0.39439924182571245 24
12 0.7553921568627451 4
12 0.23975453626781898 32
12 0.2227734962109962 37
11 0.24825174825174826 5
11 0.3000820376514701 27
11 0.44574577880204475 22
11 0.3505102565926593 31
11 0.4931939718035974 3
11 0.2646431277267235 32
11 0.5011655011655012 23
11 0.4879318748155114 22
11 0.585204130520336 20
11 0.14714146407694795 4
11 0.5361796848427864 12
11 0.7462168818473803 12
11 0.08955596563111404 41
11 0.8030303030303031 5
10 0.3513701025315693 29
10 0.35234272592578375 30
10 0.8011111111111111 10
10 0.4416290366721401 23
10 0.2691049087364877 27
10 0.6091883116883117 19
10 0.22402304216705843 36
10 0.8033333333333333 12
10 0.07298480398801949 34
9 0.07897134735967831 40
9 0.1427413834671899 40
9 0.38823583823583824 26
9 0.4379160046084711 26
9 0.8401805166511048 8
9 0.6666666666666666 3
9 0.10239553209042729 42
9 0.164371187305849 36
9 0.4813474107591754 24
9 0.33462902837902836 32
9 0.39708624708624707 20
9 0.12227373940198488 41
9 0.8631353214686548 11
8 0.2252120166924671 39
8 0.06025113720515855 36
8 0.6503175133689839 16
8 0.763095238095238 15
8 0.10895408285681318 38
8 0.22067560202640848 38
8 0.676279357897005 14
8 0.6264204545454546 8
8 0.2136652767167473 41
8 0.054763837957435516 38
8 0.745806277056277 17
8 0.3909949064411307 27
8 0.4190381742351851 30
8 0.2892398744531195 34
7 0.40643889134601213 32
7 0.07455890799096375 46
7 0.1210020530860111 45
7 0.17388631128126925 41
7 0.3042530049898304 35
