count nobl hsv
4 28.0 8884
4 1.0 6688
4 19.0 5144
4 21.0 3891
4 16.0 2342
4 0.0 12813
4 7.0 9949
4 14.0 3257
4 19.0 5848
4 6.0 7150
4 19.0 7099
4 15.0 6562
4 0.0 8175
4 0.0 12268
4 22.0 5879
4 1.0 5506
4 22.0 3922
4 19.0 6165
4 8.0 4883
4 16.0 4968
4 1.0 7055
4 23.0 3634
4 0.0 14029
4 0.0 10361
4 8.0 7111
4 9.0 7171
4 10.0 7543
4 9.0 6873
4 4.0 6509
4 22.0 2744
4 16.0 4635
4 16.0 7467
4 4.0 6805
4 10.0 6378
4 18.0 704
4 5.0 9779
4 10.0 8227
4 22.0 4731
4 3.0 10259
4 1.0 4292
4 11.0 6076
4 17.0 4405
4 22.0 4585
4 2.0 7386
4 7.0 7708
4 16.0 4235
4 22.0 7991
4 0.0 9592
4 5.0 6180
4 23.0 5430
4 18.0 6185
4 19.0 8189
4 20.0 2973
4 16.0 2751
3 22.0 4235
3 6.0 6107
3 22.0 6696
3 17.0 6578
3 23.0 7841
3 0.0 14493
3 20.0 2669
3 0.0 18074
3 27.0 1654
3 16.0 5966
3 1.0 5277
3 5.0 5467
3 18.0 7528
3 18.0 3082
3 0.0 16565
3 8.0 7427
3 2.0 6955
3 17.0 7181
3 22.0 4916
3 15.0 1206
3 15.0 421
3 19.0 2460
3 23.0 8241
3 21.0 4556
3 14.0 640
3 2.0 6524
3 22.0 2994
3 18.0 1101
3 18.0 7323
3 19.0 6803
3 23.0 3408
3 1.0 7593
3 16.0 6728
3 22.0 1505
3 20.0 8059
3 19.0 7720
3 14.0 8371
3 0.0 10007
3 21.0 9041
3 11.0 6465
3 18.0 4319
3 4.0 7019
3 17.0 6155
3 10.0 7230
3 21.0 6645
3 8.0 5544
3 15.0 650
3 16.0 898
3 23.0 5042
3 25.0 5208
3 11.0 8015
3 20.0 2110
3 21.0 7722
3 48.0 4602
3 4.0 6278
3 7.0 5281
3 26.0 8890
3 15.0 964
3 20.0 1827
3 6.0 6705
3 5.0 5648
3 13.0 1065
3 5.0 7277
3 32.0 6836
3 12.0 6303
3 13.0 6323
3 6.0 8313
3 19.0 8502
3 8.0 9018
3 22.0 6408
3 15.0 7083
3 17.0 9333
3 18.0 8472
3 16.0 7203
3 16.0 7868
3 38.0 9834
3 24.0 4947
3 23.0 7269
3 20.0 4436
3 20.0 2438
3 48.0 5287
3 19.0 5642
3 0.0 10197
3 19.0 3141
3 14.0 6529
3 22.0 7359
3 12.0 5394
3 22.0 2389
3 22.0 5233
3 0.0 13441
3 0.0 19971
3 9.0 8297
3 10.0 5569
3 11.0 8909
3 21.0 3015
3 12.0 9097
3 5.0 7985
3 10.0 279
3 6.0 5856
3 0.0 10804
3 11.0 6268
3 20.0 620
3 18.0 2943
3 18.0 1762
3 0.0 14315
3 5.0 8298
3 11.0 7089
2 18.0 6661
2 6.0 6937
2 26.0 8497
2 0.0 14859
2 22.0 5594
2 17.0 7701
2 0.0 25820
2 32.0 4416
2 15.0 7536
2 28.0 8176
2 9.0 7939
2 51.0 28263
2 10.0 9004
2 5.0 12350
2 0.0 11042
2 3.0 7827
2 33.0 13138
2 31.0 5217
