robl cc count
0.15 8 24
0.5 7 24
0.29411764705882354 5 24
0.2777777777777778 2 24
0.07692307692307693 1 24
0.11764705882352941 8 24
0.21739130434782608 4 24
0.17647058823529413 7 24
0.23809523809523808 6 24
0.5454545454545454 1 23
0.75 2 23
0.07692307692307693 5 23
0.08695652173913043 8 23
0.08333333333333333 7 23
0.09090909090909091 4 23
0.1724137931034483 7 23
0.4444444444444444 5 23
0.29411764705882354 6 23
0.14814814814814814 5 22
0.12 7 22
0.07142857142857142 6 22
0.46153846153846156 1 22
0.1111111111111111 9 22
0.13636363636363635 3 22
0.14814814814814814 6 22
0.22727272727272727 4 22
0.2777777777777778 1 22
0.2777777777777778 6 22
0.20833333333333334 7 22
0.07692307692307693 6 22
0.12 6 22
0.08333333333333333 8 22
0.2631578947368421 3 22
0.06666666666666667 6 22
0.15384615384615385 9 21
