count robl coco
46 0.20125039290309596 9
46 0.28598024919028 8
46 0.4433454106280193 3
46 0.35719469403901377 1
46 0.031705953410395164 16
46 0.36062422856593696 8
46 0.02892187191258989 12
46 0.12336561663080244 11
45 0.8564102564102563 0
45 0.37794506446553233 5
45 0.09091651812240048 8
45 0.12531205353785999 9
45 0.36376820839978735 6
45 0.40013888888888893 4
44 0.19210923594780774 12
44 0.22974525474525473 6
44 0.18745982078479378 11
44 0.19965096682422087 10
44 0.17288099243849311 11
44 0.36840966051492363 1
44 0.2746192330831829 6
43 0.0978012485900891 12
43 0.2616477064309846 2
43 0.3162313177405766 6
43 0.08800663454093835 11
43 0.3183538511080265 0
43 0.07881983857504053 12
42 0.3566324313420852 5
42 0.28492772108843534 6
42 0.08827562645611604 12
42 0.15580733238934993 14
42 0.33356009070294784 6
41 0.0 24
41 0.4285710401298948 3
41 0.7150600077429345 0
41 0.1488707454571611 8
39 0.13867681162282 29
39 0.09050627193210313 14
39 0.029915997267723562 4
39 0.06338133737695342 16
39 0.06866546941698194 12
39 0.4637127829435522 0
38 0.14391307169502285 16
38 0.4452688651218063 4
38 0.07139579418937742 15
38 0.10121078687338814 16
38 0.3158370587730612 9
38 0.34904724236946466 1
38 0.07175541823908431 9
38 0.05009270699649935 18
37 0.14375366878706314 13
37 0.20935781830411912 7
36 0.13704764063959465 4
36 0.21312969779631077 12
36 0.31784646187871995 3
36 0.3342013888888889 7
35 0.1435364389658302 9
35 0.030799431981063333 21
35 0.2155579605721877 13
35 0.11552333754014425 14
34 0.0323257027990598 20
34 0.22227130060722636 10
34 0.10001252183522123 15
34 0.21354292857588075 11
34 0.2496413199426112 10
34 0.05017428569366591 16
33 0.09522702579350886 9
33 0.03918331266157353 14
33 0.1256073218915648 14
33 0.14426463304495593 15
32 0.21241254370649787 10
32 0.543911297036297 0
32 0.23625179080554334 10
32 0.34931994639545355 3
32 0.057226297073675166 15
32 0.29488211014142973 10
32 0.16852366227600485 13
32 0.3037142079940993 7
32 0.18516544354177553 17
31 0.30103228700704154 9
31 0.03636062726305586 17
31 0.45449450288159965 1
31 0.26695372938257184 2
31 0.0574983661795806 14
31 0.03141933171146574 19
31 0.7695458663200598 0
30 0.17326067331557232 14
30 0.5 5
30 0.2504273504273504 9
30 0.3506409767805173 12
30 0.164864968240883 18
30 0.07855132277154794 16
30 0.11398873310638016 15
30 0.354774226406105 10
30 0.4157284923538794 4
30 1.5 0
30 0.049244684141988376 14
30 0.29345437309542305 6
29 0.18737595647246721 13
29 0.3564832530552612 7
29 0.10794926330942352 12
29 0.35113778342534147 2
29 0.12949287050901354 16
29 0.23722869934287125 13
28 0.3041622427491993 8
28 0.05126880057881341 17
28 0.02752266287882476 17
28 0.5 4
28 0.20042586442180763 11
28 0.2383106847754776 9
28 0.07794266360055833 14
27 0.0440910753956196 15
27 0.751256913021619 1
27 0.23224955616430035 12
27 0.4158831173795054 2
27 0.1551786409214253 13
27 0.2967961906013644 11
27 0.13513513513513514 38
26 0.35329941687204236 6
26 0.08608043484675602 18
26 0.21930535012582697 14
26 0.255530383540275 11
26 0.2888407844527389 9
26 0.16460189860036323 16
26 0.45669714900484126 2
26 0.25833127260086247 13
26 0.31494293089095343 10
26 0.02957519797190725 2
26 0.22602483675684668 11
25 0.06855382222342801 14
25 0.0 26
25 0.18619366310368007 15
25 0.22126059253693264 15
25 0.1542294173408671 17
25 0.11468700117767548 16
25 0.5429370629370629 1
25 0.20315973151790384 14
24 0.2410667973577982 0
24 0.3163401129192823 7
24 0.07935497011826988 17
24 0.27602850454143557 10
24 0.10226334655610658 14
24 0.23925047484151252 14
24 0.6020177780328037 4
24 0.41598462924704327 3
24 0.27548560293172364 9
23 0.5 8
23 0.394822613070677 6
23 0.6975247421623112 0
23 0.473217378040111 0
23 0.23821900698298412 11
23 0.5277822986878004 0
23 0.8005434782608696 1
23 0.34985490033074934 14
23 0.18812885324843692 14
23 0.13760881639442357 10
23 0.12655609724364214 21
23 0.34968708491474765 4
22 0.46560671795562086 3
22 0.38627797323449503 4
22 0.3969237832874196 5
22 0.15466511669850738 19
22 0.09176523930132853 20
22 0.41550147266466053 6
22 0.2914077175038931 12
22 0.08690503869532003 5
22 0.08480835388996281 15
22 0.10074506688359924 18
22 0.06695604004988169 19
21 0.317832424069223 8
21 0.08005554426607057 5
21 0.6265051615051616 1
21 0.143697520701005 18
21 0.334397348683063 8
21 0.4683763838051148 4
21 0.12961193129748133 15
21 0.05386582525016846 22
20 0.2837598691805322 13
20 0.2521148859801176 17
20 0.4155794760147463 5
20 0.2712089974627636 11
20 0.20556512621928444 15
20 0.15427113970868783 21
20 0.10526410105562736 21
20 0.2543291711255098 15
20 0.20287208759326755 16
19 0.18492168974666728 16
19 0.26231280118720723 10
19 0.052029149517300505 20
19 0.2374022812288167 15
19 0.09540054130773958 17
19 0.263948290694306 12
19 0.0 28
19 0.0 27
18 0.8324915824915826 0
18 0.03051334827822616 23
18 0.2781925990793368 16
18 0.5479312645979313 2
18 0.15736442410360066 15
18 0.05028113103055895 19
18 0.0 31
18 0.39943100878163074 8
18 0.6023349436392915 2
18 0.42567276336822485 7
18 0.02993228967643123 22
17 0.2628389672675579 9
17 0.3759157509157509 6
17 0.11783829208928373 18
17 0.2210418487925743 17
17 0.16943142127500324 15
17 0.20245456614870422 17
17 0.19975150270533848 13
17 0.0654882815581843 17
17 0.08835565568414368 19
16 0.13803050397877983 27
16 0.11311888662894855 17
16 1.0 1
16 0.2527274819340215 16
16 0.43579498626373625 8
16 0.0 29
16 0.4296875 6
16 0.5711410984848485 2
15 0.0699307747249453 18
15 0.3561058953696525 9
15 0.05409800836630105 23
15 0.3327327327327327 9
15 0.2466687565308255 12
15 0.3891871347753701 10
14 0.5573611111111111 1
14 0.1746148790791648 19
14 0.05601157612509754 28
14 0.030788123981441047 26
14 0.4722019700328644 2
14 0.16787347714981118 20
14 0.7147881880024737 1
14 0.426883830455259 4
14 0.4646175290138138 5
14 0.11684085971175646 20
14 0.30872231890314283 12
14 0.45440630797773657 3
13 0.04596117317709617 21
13 0.19050806308870824 18
13 0.6422988775929953 0
13 0.37636432003830644 7
13 0.7325045325045324 0
13 0.75 2
13 0.5833919401281831 3
13 0.6666666666666666 2
13 0.3909446134846593 1
13 0.10709891499365184 19
13 0.18798646490954182 20
13 0.12047869431822639 19
13 0.08272869641703104 21
13 0.0723145306498616 23
13 0.028452722083646114 25
13 0.42142103056677693 11
13 0.13313557303370546 18
13 0.22778249005347462 16
13 0.5309177922181019 1
13 0.3173911565857679 11
12 0.5646494708994708 3
12 0.12590761303464323 22
12 0.3299337745851028 14
12 0.28319499775269347 15
12 0.16182175915304098 22
12 0.3378347841792239 15
12 0.33835556089551044 11
12 0.2373909551116682 20
12 0.027238537837061583 24
11 0.4432828282828283 5
11 0.05639962637389818 27
11 0.11424663470530488 24
11 0.8333333333333335 1
11 0.24246505007154093 18
11 0.09026048702605542 24
11 0.30958012503041493 14
11 0.5368562762877427 3
11 0.6 3
11 0.09358737649464138 22
11 0.38122940278112694 9
10 0.0 32
10 0.26610346106545874 14
10 0.027417332667388328 29
10 0.4532245532245532 6
10 0.10187505240136818 25
10 0.13513513513513514 36
10 0.0 30
10 0.23824711190515643 19
10 0.05586256319014939 26
10 0.5018518518518518 7
10 0.5 6
10 0.38603353168570564 11
10 0.14659785339703585 23
10 0.4286430960344004 5
10 0.1848369007327678 21
10 0.2873589520235862 21
10 0.20959383936977175 19
10 0.35115783179201066 18
10 0.14422644177635102 26
10 0.28698808116908336 14
10 0.40090225563909776 9
10 0.30397002725950095 15
9 0.10756190698719434 23
9 0.4647606626450796 8
9 0.061602345600633455 21
9 0.696536212325686 1
9 0.3370450191570881 10
9 0.6095921255341545 6
9 0.073974959338944 24
9 0.1847280528281812 29
9 0.1589906129103922 25
9 0.02771336313899681 31
9 0.22362389263020066 24
9 0.25809100848810096 27
9 0.38048141483813996 16
9 0.09962092011141924 27
9 0.42815296090467714 10
9 1.3333333333333333 0
9 0.6275853775853776 2
8 0.21386970035550157 20
8 0.13425306870106649 19
8 0.10968727909517383 22
8 0.17289777838032674 23
8 0.123800403987012 23
8 0.28533181517556516 17
8 0.38249961371558466 12
8 0.1365962115962116 34
8 0.3365384615384615 13
8 0.06876626770779996 22
8 0.32985559088500266 12
8 0.5638533293752284 4
8 0.8571428571428571 1
8 0.08856350046087685 26
8 0.0 33
8 0.14656061531061532 24
8 0.1833549896049896 22
8 0.146981721981722 22
8 0.21008312807881774 25
8 0.2085667301503026 22
8 0.5308183280353155 2
8 0.07713825914685168 30
8 0.17531526309276818 27
8 0.41881039497138567 14
8 0.20618996179341006 21
7 0.7699797867865096 2
7 0.06712248303103222 20
7 0.7504352278545827 4
7 0.0905356310376213 29
7 0.028142995216165947 27
7 0.6666666666666666 3
7 0.06346052475084733 31
7 0.36552526273667363 13
7 0.5989417989417989 5
7 0.055208266140321885 30
7 0.1958447980378704 23
7 0.7040816326530612 2
7 0.12701594511607348 28
7 0.04857327304219515 41
7 0.14942141858518165 30
7 0.7993197278911566 2
7 0.17324820605963392 24
7 0.07448323874366361 35
7 0.12282831390040798 26
7 0.05688537652823367 24
7 1.6666666666666667 0
7 0.9106369820655534 0
7 0.35538609515296965 11
7 0.0 36
7 0.3393056219143175 16
7 0.2924524691230497 18
7 0.4070695750519433 13
7 0.2591701900457661 24
7 0.2833913110698825 19
7 0.8809523809523808 0
7 0.350391710851589 20
7 0.26122817633853285 18
7 0.031483820139282324 28
6 0.46418858918858924 13
6 0.21359989048868502 18
6 0.3994516255385821 7
6 1.25 0
6 0.0 37
6 0.1247104247104247 32
6 0.5453069261892791 6
6 0.35421403772349264 17
6 0.3145809234625024 13
6 0.39477336951981984 15
6 0.1517478882391163 28
6 0.09778491778491778 28
6 0.23413959705207912 22
6 0.22830348296762537 23
6 0.07955967643467643 32
6 0.13829514319753797 25
6 0.5104575163398692 10
5 0.09503665689149561 23
5 0.43725845410628017 9
5 0.05865465803546299 34
5 0.32767402376910015 18
5 0.03181444352176059 32
5 0.1757867132867133 31
5 0.47462431013595363 6
5 0.2811054477822771 22
5 0.11443131109369878 31
5 0.6922267206477732 4
5 0.8753584229390681 3
5 0.2608047543341661 21
5 0.3416117216117216 22
5 0.20008898776418244 24
5 0.3859691383884932 14
5 0.5311311781900017 5
5 0.1848505784041867 25
5 0.32561283234453964 17
5 0.0 38
5 0.2335222672064777 21
5 0.3128772872251133 16
5 0.4421470342522974 12
5 0.33917877463930096 24
4 0.534311631351105 4
4 0.45434751651856914 9
4 0.3786502849002849 17
4 0.1999288762446657 40
4 0.0 40
4 0.0 35
4 0.1760240775484678 45
4 0.05379129129129129 29
4 0.4639527268397238 7
4 0.031464646464646466 30
4 0.335386857445681 19
4 0.2721305813439434 23
4 0.1798611111111111 26
4 0.008620689655172414 43
