count robl cc
3 0.5374451374451374 3
3 0.18021992580816112 16
3 0.7186147186147186 3
3 0.7677224736048265 2
3 0.9327731092436974 1
3 0.6666666666666666 6
3 0.18616912366912367 17
3 0.08822055137844613 23
3 0.2881927838886232 16
3 0.3778659611992945 17
3 0.16960898180410378 19
3 0.5392911010558069 10
3 0.21023146100545478 19
3 0.3452696728558798 20
3 0.37041847041847037 15
3 0.05476190476190476 19
3 0.5663819875776398 9
3 0.4174538911381016 12
3 0.2565227170490328 19
3 0.4035353535353536 11
3 0.1768009768009768 18
3 0.3431547619047619 24
3 0.5640671727628249 6
3 0.09990253411306042 25
3 0.03954175905395418 23
3 0.41558441558441556 15
3 0.189323022656356 21
3 0.0 31
3 0.14816320385426077 18
3 0.2801796157059315 18
3 0.41346665030875557 13
3 0.38095238095238093 13
3 0.640909090909091 4
2 2.0 1
2 0.6666666666666666 4
2 0.7655677655677655 5
2 0.06573275862068965 21
2 0.08712121212121213 19
2 0.6190476190476191 5
2 0.10050462573591254 19
2 0.04096989966555184 22
2 0.03571428571428571 35
2 0.2847368421052632 17
2 0.34782608695652173 16
2 0.5480480480480481 8
2 0.788888888888889 4
2 0.45454545454545453 16
2 0.34292763157894735 26
2 0.446360153256705 8
2 0.22956989247311826 23
2 0.8397435897435898 3
2 0.5 11
2 0.46153846153846156 19
2 0.20256410256410257 22
2 0.34549071618037136 19
2 0.3426067073170732 21
2 0.1314655172413793 20
2 0.3333333333333333 14
2 0.0 29
2 0.42857142857142855 9
2 1.0 3
2 0.7416666666666667 4
2 1.1547619047619047 1
2 0.26747967479674795 22
2 0.6 7
2 1.4 3
2 0.43478260869565216 16
2 0.053418803418803416 25
2 0.012195121951219513 44
2 0.19615384615384618 23
2 0.8888888888888888 2
2 0.1784090909090909 25
2 0.820855614973262 4
2 0.2540322580645161 15
2 1.2 5
2 0.16954022988505746 22
2 0.425 18
2 0.3426067073170732 27
2 0.24662162162162163 16
2 0.5798319327731092 10
2 0.5941176470588235 9
2 0.20294117647058824 35
2 1.125 3
1 0.21428571428571427 50
1 0.03225806451612903 32
1 0.20512820512820512 31
1 0.6363636363636364 8
1 0.0 35
1 0.2 36
1 0.2 30
1 0.32142857142857145 16
1 3.0 1
1 0.02564102564102564 25
1 0.2 42
1 0.75 8
1 0.09375 20
1 0.09523809523809523 27
1 0.9230769230769231 3
1 0.24390243902439024 21
1 1.3333333333333333 2
1 5.333333333333333 1
1 0.38461538461538464 16
1 1.0 6
1 0.45714285714285713 17
1 0.48484848484848486 17
1 0.34146341463414637 28
1 0.3333333333333333 22
1 1.2857142857142858 3
1 0.10344827586206896 29
1 0.5428571428571428 9
1 1.0 4
1 0.1951219512195122 24
1 0.03225806451612903 26
1 0.30303030303030304 19
1 0.0 36
1 0.7272727272727273 6
1 0.26666666666666666 24
1 0.2777777777777778 19
1 0.23333333333333334 29
1 0.4634146341463415 12
1 0.3783783783783784 24
1 1.125 2
1 1.5 2
1 0.23076923076923078 27
1 0.5238095238095238 5
1 0.8888888888888888 3
1 1.375 2
1 0.14285714285714285 30
1 1.0769230769230769 2
1 1.0909090909090908 1
1 1.75 1
1 0.5555555555555556 7
1 0.06666666666666667 31
1 0.22857142857142856 24
1 0.0 33
1 0.12195121951219512 28
1 0.34210526315789475 25
1 0.0 28
1 0.3 39
1 0.0975609756097561 41
1 0.34146341463414637 30
1 0.29411764705882354 14
1 0.7272727272727273 5
1 0.3076923076923077 23
1 0.64 7
1 0.37037037037037035 20
1 2.5 3
1 1.3333333333333333 3
1 0.0 34
1 0.09523809523809523 22
1 0.4 22
1 0.05405405405405406 28
1 0.24390243902439024 20
1 0.5 13
1 0.4722222222222222 10
1 0.6363636363636364 13
1 0.5121951219512195 14
1 0.6470588235294118 9
1 0.4634146341463415 20
1 0.5806451612903226 8
1 0.6666666666666666 7
1 0.030303030303030304 21
1 0.8571428571428571 7
1 0.8333333333333334 5
