count robl loc
4 0.5119357268747513 41
4 0.20224848584257576 197
4 0.27315486852671056 132
4 2.5 2
4 0.3198750439036363 122
4 0.5073593073593073 34
4 0.9303490627020039 14
4 0.12300245432771835 229
3 0.17493393065912147 261
3 0.04453839627137162 239
3 0.08913715937986914 411
3 0.303129074315515 117
3 0.2827466393255867 112
3 0.6428571428571429 14
3 0.23570228626208867 437
3 0.9126984126984127 23
3 0.31654772391664215 146
3 0.19445949250418523 178
3 0.1722721718749716 286
3 0.26910408432147565 251
3 0.732320646299141 28
3 0.0 237
3 0.5455172846477194 44
3 0.11971076274850341 203
3 0.09633570991940642 328
3 0.04882473314529064 245
3 0.13920601767350121 581
3 0.14799849273533483 263
3 0.18405247233727562 275
3 1.3916666666666666 6
3 0.1878960025920701 374
3 4.0 1
3 0.13562684228006808 221
3 0.07925675803492045 264
3 0.037813042400198366 220
3 0.3240428234440211 165
3 0.11177551643723538 477
3 0.0 259
3 0.23859531296109737 180
3 0.05061476230525852 204
3 0.16435016248207251 428
3 0.04764951504457302 273
3 0.12111406387979441 289
3 1.2 5
3 0.19426172969958466 336
3 0.15125042893860524 637
3 0.1762820512820513 312
2 0.43630620041140167 82
2 0.3248814677386106 98
2 0.6994047619047619 45
2 0.0 808
2 0.1697098436228871 297
2 0.08895398796968987 253
2 0.12556487125742744 322
2 1.0839160839160837 12
2 0.039822321622713014 439
2 0.37108588170664714 128
2 0.02249742796553824 378
2 0.0 505
2 7.0 1
2 1.3333333333333333 12
2 0.05010098909911783 259
2 0.05839002267573696 291
2 0.13325411701700363 386
2 0.19636089975073026 410
2 0.4444444444444444 90
2 0.2644157369348209 261
2 0.16304347826086957 230
2 0.12798598041622344 605
2 0.13717085057545586 703
2 0.10563008742839916 431
2 0.06690472647919457 284
2 0.22173058013765978 225
2 0.09591836734693877 245
2 0.36881868131868134 89
2 0.043886942192026934 410
2 0.26297892720306515 144
2 0.14277141298417895 613
2 0.13272140236996466 942
2 0.16032608695652173 368
2 0.0855455809952598 467
2 0.14357031857031857 717
2 0.19964001225490197 255
2 0.10259103641456582 307
2 0.24016961169284468 191
1 0.10235131396957123 723
1 0.5535714285714286 224
1 0.14764397905759163 955
