count robl hsv
50 0.26501941763074566 1967
50 0.37895604395604393 767
49 0.30649632660385984 1363
49 0.35474625430071316 1032
49 0.12267435281537845 1895
49 0.5625734809408279 433
49 0.35839202958071104 963
48 0.42485119047619047 684
48 0.16827014208224958 1956
48 0.23835126765128592 1819
48 0.030273600741872058 1922
48 0.10166975801385897 2155
48 0.2729018975106129 1195
48 0.16666666666666666 97
48 0.7503063725490197 281
47 0.5697399527186761 485
47 0.07422997449971219 2056
47 0.3322849579498516 993
46 0.2860248447204969 134
46 0.2812437998339745 1406
46 0.251414368458874 1383
46 0.041075816909653055 514
46 0.21572849209918885 1719
46 0.05957224151633341 1671
46 0.333648393194707 934
46 0.38093664750396866 842
45 0.10775512918817225 2054
45 0.24725003400012927 1895
45 0.4238562091503268 563
45 0.22940968959189384 1549
44 0.3591202970966551 795
44 0.5507761697601269 575
44 0.6659779614325069 265
44 0.2723969924881871 1627
43 0.3855889900904158 1152
42 0.320534380431518 1506
42 0.75 163
42 0.03799914276663815 2051
42 0.28724849490185167 1479
42 0.40004668534080307 612
42 0.3887540369683227 920
42 0.23615404485752017 2044
42 0.3429211305670175 1428
41 0.027674974001732154 2138
41 0.30787675702191714 1297
41 0.42482349165596917 613
41 0.4528134339377325 849
40 0.14879783643966277 1926
40 0.8000974025974026 273
40 0.22780820535850813 1953
40 0.032346162201710035 1991
40 0.357961255294712 848
39 0.20492087624573763 2101
39 0.34373160120750124 1363
39 0.5014289116456299 908
38 1.0 222
38 0.0 2361
38 0.3677084257542951 1253
38 0.17301665519688064 2060
38 0.4475238212080317 454
38 0.19756587200967501 1956
38 0.32582848155652966 1127
38 0.29328294160818486 1562
38 0.12302523750028951 2113
37 0.5 685
37 0.34339306922427126 1297
37 0.43727661331241896 949
37 0.26879918619573123 1751
37 0.18457521435967345 2168
36 0.12275996582961911 2230
36 0.3818195952654491 1362
35 0.03327170071107541 2225
35 0.4457686104744928 349
35 0.466362914816815 781
35 0.0 2740
35 0.3598297956782793 1522
35 0.14331196982966365 2300
35 0.770231785021701 600
35 0.055273292781542506 2126
34 0.11606374239335536 2334
34 0.15255257504688302 2213
33 0.5687174778083869 315
33 0.6 371
33 0.09500466963323526 2441
33 0.15118742105582264 2138
33 0.3114479271405303 1438
33 0.6674436674436675 406
33 0.0021820997430753524 2860
32 0.2921246408728377 2148
32 0.29269733012576327 1697
32 0.4110813045313819 960
32 0.2877827605760105 2048
32 0.5012175324675324 1013
32 0.08341182077567534 2326
31 0.3360628618693135 1230
31 0.1369289010908036 2420
31 0.42668756931943047 1148
31 0.5997311827956989 454
31 0.25153540873098995 2125
31 0.09047901538327807 2237
31 0.16905752506367036 2524
31 0.07703067828286078 2163
30 0.05932961739454941 2281
30 0.1998265193868552 2018
30 0.4275631700853915 1048
29 0.16816337235002587 2375
29 0.0 2436
29 0.18419574104850328 2300
29 0.22875181998404007 2195
29 0.3444175582599382 1607
29 0.8517983031167615 651
29 0.22864972925569838 2297
29 0.33043603639019614 1712
29 0.41503641722742846 1631
29 0.2409845160433114 1757
28 0.06665494862096215 2384
28 0.6694805194805195 613
28 0.19876436340011344 2233
28 0.30044603391014396 1788
28 0.8035714285714286 160
28 0.005552129040346535 2589
28 0.4056589577763837 1326
28 0.21095815728947118 2375
28 0.5410744145222804 839
28 0.0 2515
28 0.5661719233147805 362
27 0.3124059932355127 1222
27 0.5 819
27 1.5 105
27 0.3953128659299768 1251
27 0.2928668991987781 1911
27 0.08216465953961578 2537
26 0.3122192612592245 1627
26 0.42448172564602554 1414
26 0.006052824506913459 2659
26 0.5676823176823176 245
26 0.032968241137647174 2324
25 0.44779011837835364 284
25 0.18094929318292605 2702
25 0.3449726005401881 1783
25 0.4030855829711665 1502
25 0.039734423460731694 2511
25 0.625909090909091 377
25 0.06842166149187268 2639
25 0.0 2982
25 0.4042605822253058 2027
24 0.5 768
24 0.7009793447293448 978
24 0.10445608347067646 2679
24 0.03706948382545827 2418
24 0.12220245879228968 2607
24 0.5459083922899712 666
24 0.34076183686131944 2094
24 0.0049505285985361885 3119
24 0.26314355413162377 2205
23 0.5955029838022166 575
23 0.34411874718109764 2184
23 0.3295874693248587 1844
23 0.25005657690455363 2396
23 0.5485760616195399 511
23 0.46684087818595943 1069
23 0.3636306394915248 1647
23 0.1277801188880009 2508
22 0.2831788893813903 1852
22 0.734524589773675 708
22 0.34590166579612514 2014
22 0.39599012628960184 1728
21 0.3080913141638929 1978
21 0.22111425569829585 2477
21 0.7129251700680272 370
21 0.0 3232
21 0.25828014551799716 2507
20 0.8585317460317461 331
20 0.45964003363076256 1235
20 0.19672678292809453 3005
20 0.5065126050420168 1154
20 0.6262237762237762 511
20 0.44582096310197333 1698
20 0.004129129129129129 3876
20 0.34446861722382904 1925
20 0.5446814256005432 972
20 0.43720766012528023 1307
20 0.7977777777777778 376
19 0.20773180795854743 2589
19 0.47688135956844396 1400
19 0.5826036344420489 1634
19 0.07937554506753991 2783
19 0.2621797388081573 2303
19 0.6666666666666666 498
19 0.15898746572156308 2614
19 0.6174885056464003 687
18 0.3246600297393197 2315
18 0.22103553124739303 2852
18 0.08787613081896706 2944
18 0.5875060125060125 1196
18 0.12725675274381645 2807
17 0.1491037118066492 3141
17 0.7100840336134454 485
