count nobl hse
3 12.0 279490
3 2.0 176937
3 21.0 284817
3 23.0 273131
3 11.0 222144
3 11.0 165843
3 23.0 263059
3 5.0 132050
3 25.0 210909
3 6.0 180389
3 2.0 143099
3 21.0 213079
3 3.0 156482
3 22.0 129685
3 18.0 26086
3 16.0 246605
3 22.0 51951
3 0.0 224074
3 11.0 211688
3 18.0 32555
3 20.0 97613
3 24.0 111758
3 8.0 230011
3 2.0 379677
3 12.0 169631
3 2.0 170064
3 23.0 82108
3 23.0 248919
3 25.0 160744
3 17.0 363992
3 21.0 175791
3 17.0 149327
3 4.0 237416
3 11.0 251338
3 18.0 102805
3 20.0 149984
3 1.0 230454
3 21.0 38899
3 2.0 278349
3 2.0 352296
3 31.0 262153
3 3.0 162086
3 5.0 228566
3 23.0 48589
3 22.0 290596
3 11.0 416264
3 2.0 441049
3 24.0 174966
3 22.0 210491
3 18.0 38728
3 10.0 202756
3 15.0 14548
3 8.0 353414
3 18.0 4971
3 21.0 104935
3 20.0 199733
3 13.0 253412
3 21.0 80034
3 15.0 270787
3 15.0 332350
3 2.0 221842
3 0.0 252693
3 9.0 177187
3 7.0 245605
2 16.0 296399
2 7.0 533741
2 22.0 386310
2 23.0 434474
2 1.0 324642
2 31.0 285519
2 26.0 236133
2 3.0 233164
2 25.0 125921
2 19.0 340510
2 17.0 224086
2 17.0 399072
2 10.0 218242
2 4.0 166911
2 2.0 387692
2 8.0 241829
2 10.0 577152
2 26.0 125476
2 21.0 15073
2 21.0 491468
2 17.0 244967
2 40.0 637842
2 7.0 141191
2 35.0 731518
2 8.0 165345
2 6.0 415828
2 23.0 130997
2 3.0 227359
2 23.0 36235
2 29.0 239668
2 25.0 110586
2 10.0 271167
2 21.0 459901
2 22.0 78275
2 17.0 218320
2 24.0 279453
2 18.0 312171
2 1.0 534324
2 28.0 93895
2 0.0 758686
2 26.0 279796
2 43.0 310536
2 32.0 292421
2 5.0 381921
2 21.0 166158
2 17.0 319820
2 18.0 347724
2 48.0 157962
2 26.0 71627
2 48.0 198342
2 42.0 244801
2 25.0 265569
2 6.0 309730
2 13.0 270671
2 19.0 328246
2 17.0 235020
2 3.0 268305
2 25.0 62287
2 12.0 395052
2 8.0 270013
2 8.0 200149
2 11.0 259405
2 6.0 440267
2 24.0 229747
2 0.0 991962
2 36.0 221606
2 3.0 260921
2 14.0 281658
2 12.0 192433
2 1.0 237481
2 26.0 250935
2 21.0 100343
2 41.0 1080651
2 12.0 353146
2 18.0 547238
2 5.0 246145
2 27.0 206926
2 13.0 219727
2 6.0 299134
2 25.0 175987
2 23.0 418368
2 14.0 5487
2 10.0 381344
2 0.0 698066
2 33.0 241217
2 11.0 281842
2 7.0 279102
2 5.0 292035
2 18.0 174430
2 34.0 917299
2 2.0 259198
2 20.0 247678
2 19.0 357052
2 35.0 241662
2 16.0 215208
2 3.0 287550
2 24.0 122609
2 17.0 116159
2 4.0 300530
2 34.0 602831
2 22.0 472255
2 19.0 286553
2 0.0 665996
2 51.0 1105700
2 0.0 715162
2 24.0 458039
2 15.0 252051
