count robl ncl
3 0.21597190318581835 44
3 0.08303303303303304 28
3 1.3916666666666666 0
3 0.17916195016142047 50
3 0.3575245205679988 14
3 0.3098765432098765 35
3 0.4844489519945909 16
3 0.6163600891861761 28
3 0.3274273104880581 31
3 0.7095238095238096 6
3 0.10983139037080945 43
3 1.6666666666666667 3
3 1.25 2
3 0.0005089058524173028 32
3 0.02717002717002717 26
3 1.3333333333333333 9
3 0.20293040293040296 25
3 0.8282828282828283 3
3 0.13174626198160302 29
2 3.0 12
2 0.19205579138872042 70
2 0.2486087328767123 72
2 0.0 30
2 0.33783783783783783 28
2 1.6666666666666667 14
2 1.0 10
2 0.13848987108655617 48
2 0.15641970694743354 81
2 0.625 14
2 0.9285714285714286 48
2 0.2561475409836066 26
2 0.24512987012987014 44
2 0.04266245309105274 92
2 0.898989898989899 13
2 0.15949000874655184 53
2 0.5954545454545455 10
2 0.3570234113712375 70
2 1.5 4
2 0.229752945026178 48
2 0.3040485829959514 53
2 0.7453703703703703 21
2 0.10118902779045127 88
2 0.6180555555555556 20
2 0.625 8
2 0.21035765611237311 50
2 0.13337314474355189 56
2 0.8571428571428571 10
2 1.2 6
2 0.527536231884058 35
2 0.31789473684210523 61
2 1.0 21
2 2.0 6
2 0.6306818181818181 10
2 0.11575413223140496 34
2 0.8333333333333334 14
2 0.0 49
2 0.13620898933619124 107
2 0.04482182167270801 51
2 0.1705357142857143 29
2 2.0 14
2 0.024646305861217157 46
2 1.5 13
2 0.2403846153846154 37
2 0.271889400921659 41
2 0.37108588170664714 66
2 0.7113095238095238 19
2 0.21978343576236464 39
2 0.7958333333333334 4
2 0.05481391585760517 43
1 0.46153846153846156 30
1 0.35294117647058826 72
1 1.8888888888888888 5
1 0.6 26
1 1.6666666666666667 20
1 0.7777777777777778 57
1 0.42857142857142855 40
1 0.24770642201834864 115
1 0.18359375 80
1 0.8 8
1 0.75 34
1 0.8461538461538461 9
1 0.043478260869565216 49
1 1.25 7
1 0.9 20
1 0.145 139
1 7.0 7
1 0.5428571428571428 26
1 0.8333333333333334 59
1 2.5 0
1 0.09422492401215805 92
1 0.4117647058823529 38
1 0.10042735042735043 53
1 0.7142857142857143 22
1 0.9411764705882353 56
1 0.4166666666666667 132
1 1.0 35
1 0.4666666666666667 39
1 0.022023809523809525 181
1 0.6111111111111112 41
1 0.5 26
1 0.5714285714285714 51
1 0.09538461538461539 55
1 11.0 14
1 0.13445378151260504 76
1 0.205 60
1 7.0 16
1 0.9090909090909091 6
1 0.1519434628975265 100
1 0.008691206543967281 493
1 2.5 6
1 0.004804392587508579 62
1 1.5 21
1 0.5625 23
1 0.28125 58
1 0.3 140
1 0.22058823529411764 58
1 0.1590909090909091 125
1 0.0 80
