count nobl hsv
11 8.0 807
11 6.0 1974
11 6.0 2120
11 6.0 401
11 10.0 906
11 4.0 1837
11 4.0 1605
11 7.0 1812
11 4.0 1866
11 7.0 722
11 6.0 1882
11 8.0 1559
11 8.0 1159
11 9.0 1101
11 3.0 2327
11 8.0 870
11 2.0 1990
11 6.0 1724
11 5.0 2073
11 3.0 2353
11 2.0 2225
11 7.0 1916
11 4.0 213
11 7.0 1576
11 8.0 1098
11 3.0 2229
11 5.0 1873
11 9.0 1184
11 7.0 1718
11 6.0 1824
11 7.0 992
11 6.0 1852
11 3.0 2053
11 7.0 1556
11 8.0 1308
11 6.0 1919
11 7.0 532
11 8.0 1330
11 2.0 2365
11 9.0 1117
11 3.0 1860
11 5.0 1804
11 6.0 1956
11 8.0 1535
11 5.0 1959
11 4.0 1901
11 7.0 1526
11 5.0 1279
11 6.0 1867
11 7.0 1344
11 8.0 1935
11 3.0 2179
11 8.0 1983
11 2.0 1897
11 8.0 1053
10 8.0 2045
10 9.0 666
10 6.0 1755
10 2.0 2253
10 5.0 1916
10 9.0 1273
10 8.0 1175
10 9.0 1812
10 6.0 1738
10 8.0 1733
10 8.0 1842
10 4.0 2252
10 4.0 2398
10 6.0 2439
10 5.0 2318
10 10.0 1670
10 11.0 2030
10 10.0 1734
10 8.0 682
10 8.0 1141
10 9.0 1774
10 7.0 1695
10 9.0 1212
10 6.0 2043
10 8.0 1483
10 8.0 1716
10 9.0 1544
10 6.0 356
10 8.0 1626
10 3.0 2071
10 9.0 1827
10 7.0 1740
10 15.0 1699
10 3.0 1678
10 7.0 2013
10 9.0 1965
10 6.0 524
10 5.0 2034
10 2.0 2195
10 4.0 1936
10 8.0 1760
10 6.0 2061
10 5.0 2241
10 3.0 2391
10 9.0 1642
10 4.0 2196
10 3.0 133
9 8.0 1024
9 10.0 1453
9 2.0 2075
9 9.0 2135
9 11.0 1031
9 4.0 2028
9 6.0 422
9 8.0 1597
9 5.0 1932
9 5.0 2191
9 8.0 2074
9 9.0 1796
9 8.0 1582
9 6.0 2085
9 11.0 1483
9 9.0 1313
9 9.0 805
9 4.0 2061
9 8.0 2115
9 10.0 1477
9 4.0 2003
9 5.0 1838
9 8.0 2213
9 9.0 1335
9 4.0 1854
9 5.0 1773
9 5.0 216
9 6.0 2349
9 9.0 1025
9 10.0 1603
9 6.0 2512
9 4.0 2319
9 7.0 1566
9 7.0 2706
9 10.0 1252
9 3.0 2527
9 8.0 1497
9 10.0 1553
9 18.0 1654
9 6.0 1558
9 8.0 1963
9 5.0 2148
9 2.0 2174
9 9.0 1879
9 4.0 2166
9 10.0 1649
9 9.0 2280
9 7.0 503
9 9.0 2156
9 6.0 1840
9 9.0 1077
8 9.0 1235
8 7.0 2067
8 11.0 1678
8 11.0 1510
8 9.0 1146
8 9.0 1685
8 8.0 2191
8 8.0 853
8 3.0 2154
8 10.0 1163
8 9.0 1051
8 7.0 2115
8 10.0 1427
8 6.0 233
8 4.0 2226
8 10.0 1392
8 9.0 1493
8 11.0 743
8 6.0 441
8 5.0 2130
8 3.0 1773
8 8.0 427
8 9.0 997
8 4.0 2345
8 10.0 1865
8 8.0 1669
8 5.0 1947
8 7.0 2309
8 2.0 2327
8 10.0 1293
8 5.0 2218
8 8.0 1816
8 7.0 2032
8 3.0 2622
8 8.0 2139
8 7.0 1895
8 9.0 2034
8 2.0 2539
8 8.0 703
8 7.0 1934
8 2.0 2051
8 3.0 2461
8 7.0 1877
8 11.0 1340
8 3.0 1754
8 8.0 727
8 10.0 935
8 8.0 1194
8 8.0 1617
8 3.0 2423
8 10.0 1007
8 5.0 2261
7 11.0 1955
7 9.0 1595
7 2.0 2627
7 4.0 2502
7 9.0 871
7 2.0 2001
7 9.0 1932
7 6.0 2193
7 8.0 2412
7 4.0 2116
7 3.0 2246
7 9.0 976
7 11.0 1402
7 12.0 1730
7 5.0 2112
7 8.0 2323
7 4.0 2373
7 7.0 1993
7 9.0 781
7 9.0 2358
7 5.0 2020
7 10.0 1410
7 5.0 2161
7 9.0 1735
7 10.0 2093
7 11.0 1230
7 8.0 2559
7 3.0 54
7 10.0 452
7 10.0 1631
7 8.0 1867
7 4.0 2091
7 7.0 2334
7 6.0 2324
7 10.0 1273
7 10.0 2133
7 8.0 2022
7 9.0 1902
7 3.0 2285
7 10.0 648
7 7.0 2255
7 7.0 2513
7 7.0 2173
7 5.0 2531
7 9.0 1753
7 9.0 1253
7 11.0 1425
7 6.0 2466
7 5.0 2091
7 9.0 2081
7 9.0 2185
7 7.0 2397
7 7.0 2086
7 10.0 1128
7 9.0 1170
7 10.0 1520
7 3.0 1955
7 5.0 2387
7 8.0 1129
7 10.0 1497
7 5.0 2354
7 8.0 889
6 11.0 761
6 2.0 2502
6 4.0 2445
6 9.0 723
6 5.0 2407
6 10.0 1948
6 8.0 2094
6 8.0 1038
6 6.0 2139
6 7.0 2285
6 6.0 2261
6 3.0 2488
6 3.0 2691
6 4.0 2076
6 8.0 2166
6 2.0 3007
6 5.0 2053
6 3.0 2572
6 2.0 2783
6 9.0 696
6 5.0 2280
6 8.0 2240
